megablast	refseqc	10268596
bracken	refseqc	3188
centrifuge	refseqc	18540912
clark	refseqc	75640648
clark_s	refseqc	139864500
diamond	refseqc	24355396
kaiju	refseqc	33652348
karp	refseqc	50690000
kraken	refseqc	193752124
kraken2	refseqc	27860500
krakenhll	refseqc	201958184
kslam	refseqc	44475056
mmseqs2	refseqc	8393724
motus2	default	2265348
prophyle	refseqc	71909832
taxmaps	refseqc	63314420
gottcha	default	12470472
metaphlan2	default	1163452
pathseq	default	185070716
metaothello	default	27870832
