taxid	truth_taxid	count
1485	290402	25000
209	637913	25000
816	435590	25000
482	630588	25000
1298	243230	25000
1301	516950	25000
1060	272943	25000
1637	393123	25000
1301	1074120	24999
1301	1154870	24996
469	710094	24985
1279	93062	24980
561	585396	24739
1279	525376	22991
1386	526973	22660
1350	749498	21993
1578	1403312	18212
286	983918	15773
1912216	765115	14442
1912216	765105	10378
286	208964	6776
1654	411466	1038
1883	411466	87
1716	411466	61
1743	765105	54
1678	411466	44
2737	749498	39
32207	411466	34
43668	411466	32
1623287	983918	32
1707	411466	30
1663	411466	25
1763	411466	23
1827	411466	17
838	525376	16
544	710094	15
33882	411466	15
72763	411466	13
34037	983918	12
254250	411466	12
1573	411466	11
1839	411466	10
2053	411466	10
186188	411466	10
85108	983918	9
157920	411466	9
2034	411466	8
1912217	411466	8
2013	411466	8
1912216	411466	7
1817	411466	7
1578	749498	6
1069494	411466	6
116071	411466	6
267408	411466	6
1696	411466	6
286	411466	6
57493	411466	6
69578	411466	6
1269	411466	5
12916	411466	5
1742993	411466	5
53457	411466	5
1279	1403312	5
13134	983918	5
596707	411466	5
1623299	749498	4
940557	411466	4
1847	411466	4
337004	411466	4
84756	411466	4
165696	411466	4
413496	983918	4
142577	411466	4
36739	411466	4
57495	411466	3
1742989	411466	3
110932	411466	3
2044	411466	3
33057	411466	3
44	411466	3
1813	411466	3
133925	411466	3
1912215	411466	3
1692042	411466	3
43356	411466	3
2019	411466	3
482	411466	3
33877	411466	3
2060	411466	3
71655	1403312	3
93217	411466	3
83681	411466	3
1883	765105	2
191	411466	2
203193	411466	2
1868332	411466	2
1525371	411466	2
518733	411466	2
1380	411466	2
323449	411466	2
105850	411466	2
644652	411466	2
83618	411466	2
1301	1403312	2
1865	411466	2
2000	411466	2
1392389	411466	2
2063	411466	2
46254	1403312	2
39643	411466	2
379	411466	2
28263	411466	2
338	411466	2
88138	411466	2
53357	411466	2
414371	411466	2
413496	411466	2
106633	983918	2
613	983918	2
1854	411466	2
37914	411466	2
1081	411466	2
1860	411466	2
286801	411466	2
29404	411466	2
33981	411466	2
872	411466	2
1263	411466	2
175304	525376	1
42255	411466	1
447237	411466	1
407	411466	1
1649468	411466	1
570	526973	1
157	411466	1
1847725	411466	1
65496	411466	1
293088	411466	1
118	411466	1
2184	411466	1
237	1403312	1
38501	411466	1
2071	411466	1
106589	411466	1
1653174	411466	1
2701	411466	1
182709	526973	1
283168	411466	1
1849	411466	1
1759331	411466	1
1822464	411466	1
44260	411466	1
93681	411466	1
262406	411466	1
83677	411466	1
2056	411466	1
227873	411466	1
673534	411466	1
156885	411466	1
392332	411466	1
34072	411466	1
1835	411466	1
642	411466	1
152053	411466	1
517	411466	1
53945	411466	1
165301	411466	1
283810	411466	1
89966	411466	1
32	411466	1
203135	411466	1
2050	411466	1
1851	411466	1
285107	411466	1
43673	411466	1
1060	411466	1
838	411466	1
28231	411466	1
12960	411466	1
590	411466	1
146918	411466	1
33886	411466	1
60919	411466	1
6	411466	1
32008	411466	1
673534	765105	1
1747777	526973	1
