taxid	truth_taxid	count
1063	349101	359999
837	431947	359608
1309	210007	359185
1282	176280	352422
562	511145	222959
-2	511145	135540
1520	864803	35929
1280	451515	35287
1311	208435	34539
287	287	34113
1396	222523	32972
-2	176280	7500
210	85962	3599
1747	1091045	3594
1596	324831	3582
487	122586	3550
470	400667	3262
-2	222523	2979
-2	287	1500
-2	208435	1445
-2	210007	803
-2	451515	701
1351	474186	400
1299	243230	400
1680	367928	399
821	435590	396
-2	431947	391
-2	411466	355
-2	400667	288
119219	287	275
-1	511145	247
564	511145	159
623	511145	109
622	511145	93
28901	511145	90
550	511145	75
621	511145	71
-2	864803	69
545	511145	55
-2	122586	50
67825	511145	48
624	511145	46
-1	176280	44
693444	511145	43
1334193	511145	33
1148157	400667	28
1166130	511145	26
303	287	25
28141	511145	25
61645	511145	25
571	511145	25
1280	176280	23
399742	511145	23
54736	511145	21
573	511145	21
548	511145	20
48296	400667	20
54291	511145	19
-2	324831	18
563	511145	16
53412	287	15
-1	222523	15
413502	511145	15
615	511145	14
1428	222523	12
-1	451515	12
9	511145	11
580165	222523	10
554	511145	10
182337	511145	10
552	511145	10
582	511145	9
29471	511145	8
-1	210007	8
553	511145	7
470934	511145	7
300	287	7
316	287	7
-1	411466	7
34038	511145	6
588	511145	6
-2	1091045	6
891974	511145	6
29488	511145	6
-1	208435	6
244366	511145	6
630	511145	6
86662	222523	6
-1	287	6
67780	511145	5
204042	511145	5
1048758	511145	5
338565	511145	5
291112	511145	5
1007105	287	4
628	511145	4
63612	287	4
-2	435590	4
204038	511145	4
28151	511145	4
138072	511145	4
592316	511145	4
94624	287	4
1235990	511145	4
28035	176280	3
134287	511145	3
47880	287	3
614	511145	3
1199245	511145	3
317	287	3
63612	511145	3
232721	287	3
1314	208435	3
179636	287	3
80866	287	3
184914	287	3
215689	511145	2
1708	411466	2
29520	287	2
-1	864803	2
197614	208435	2
43306	287	2
283734	176280	2
1307	208435	2
79967	511145	2
401619	511145	2
28264	411466	2
29385	176280	2
347	287	2
1311	210007	2
1338	210007	2
34038	287	2
1002672	287	2
1281	176280	2
486	511145	1
168471	287	1
1684	411466	1
1166016	511145	1
1283	176280	1
1744	411466	1
139208	411466	1
379064	287	1
161879	411466	1
196162	411466	1
42817	411466	1
2014	411466	1
1408	222523	1
453230	411466	1
1911	411466	1
1309	208435	1
1392	222523	1
-2	85962	1
1681	411466	1
329	287	1
380021	287	1
1575	411466	1
280	287	1
131568	411466	1
132919	411466	1
42684	411466	1
155892	287	1
1308	208435	1
1496	208435	1
31958	411466	1
40576	511145	1
1423	222523	1
1398	222523	1
62977	400667	1
633	511145	1
34029	411466	1
644	511145	1
53358	411466	1
55208	511145	1
1718	411466	1
-2	349101	1
34073	411466	1
155322	222523	1
1488	411466	1
146786	511145	1
354	287	1
1711	411466	1
43669	411466	1
11	411466	1
456327	287	1
-1	431947	1
57975	411466	1
45972	176280	1
862751	287	1
33010	411466	1
-1	400667	1
1750	411466	1
1404	222523	1
1769	287	1
-2	367928	1
74313	411466	1
1270	411466	1
60920	411466	1
290399	411466	1
94122	287	1
2020	411466	1
69328	287	1
1800	411466	1
314722	411466	1
304895	411466	1
